Date,channel1,channel2,channel3,channel4,Qfactor1,Qfactor2,Qfactor3,Qfactor4
26/12/2023 13:13,0.008302675,0.004054806,1.27E-05,9.94E-06,7.587312083,8.4566269,12.48814987,12.60089406
26/12/2023 13:28,0.008238959,0.004023327,1.24E-05,1.06E-05,7.597542802,8.465264638,12.49927307,12.57158426
26/12/2023 13:43,0.00817939,0.003969399,1.19E-05,1.06E-05,7.607159709,8.480183691,12.51836034,12.57158426
26/12/2023 13:58,0.008136335,0.003923269,1.16E-05,1.08E-05,7.61414228,8.493069559,12.53016138,12.56302652
26/12/2023 14:13,0.008123332,0.003924534,1.20E-05,1.10E-05,7.616256356,8.492714646,12.514486,12.5546101
26/12/2023 14:28,0.008136291,0.00392887,1.18E-05,1.13E-05,7.614149429,8.491498792,12.52226403,12.54223989
26/12/2023 14:43,0.008146506,0.003939773,1.14E-05,1.14E-05,7.612490351,8.488446045,12.53818204,12.53818204
26/12/2023 14:58,0.008105965,0.00391402,1.05E-05,1.13E-05,7.619083786,8.495667164,12.57591772,12.54223989
26/12/2023 15:13,0.007962353,0.003817939,1.04E-05,1.12E-05,7.642634979,8.52293516,12.58028847,12.54633015
26/12/2023 15:28,0.007971386,0.003837248,1.08E-05,1.19E-05,7.641144573,8.517413145,12.56302652,12.51836034
26/12/2023 15:43,0.007996192,0.003838598,1.05E-05,1.26E-05,7.637058004,8.517027871,12.57591772,12.49183115
26/12/2023 15:58,0.007948891,0.003807091,9.98E-06,1.25E-05,7.644858436,8.526046932,12.59906858,12.49553875
26/12/2023 16:13,0.008121245,0.003924086,1.14E-05,1.31E-05,7.616595897,8.492840329,12.53818204,12.47368018
26/12/2023 16:28,0.008018357,0.003862701,1.26E-05,1.28E-05,7.633414313,8.510166664,12.49183115,12.48449451
26/12/2023 16:43,0.008008302,0.003859254,1.35E-05,1.26E-05,7.635066339,8.51114587,12.45960163,12.49183115
26/12/2023 16:58,0.008371309,0.004131907,1.40E-05,1.28E-05,7.576355186,8.435685903,12.44252038,12.48449451
26/12/2023 17:13,0.008274837,0.004048053,1.42E-05,1.26E-05,7.591774931,8.458475554,12.43584067,12.49183115
26/12/2023 17:28,0.008292431,0.004036725,1.32E-05,1.28E-05,7.588953086,8.46158195,12.47012476,12.48449451
26/12/2023 17:43,0.008295495,0.004073378,1.26E-05,1.35E-05,7.588462105,8.451554914,12.49183115,12.45960163
26/12/2023 17:58,0.008384041,0.00415566,1.24E-05,1.41E-05,7.574329783,8.429294872,12.49927307,12.43916991
26/12/2023 18:13,0.008066841,0.003921672,1.15E-05,1.41E-05,7.625469528,8.493517743,12.53415604,12.43916991
26/12/2023 18:28,0.008344563,0.004144474,1.17E-05,1.46E-05,7.580617211,8.432301103,12.52619754,12.42273048
26/12/2023 18:43,0.008311212,0.004174294,1.09E-05,1.35E-05,7.585945649,8.424300733,12.55880096,12.45960163
26/12/2023 18:58,0.008524379,0.004305358,1.10E-05,1.34E-05,7.55215107,8.389647869,12.5546101,12.46308583
27/12/2023 01:34,0.008257756,0.00395932,8.19E-06,1.35E-05,7.594518664,8.482989273,12.68805861,12.45960163
27/12/2023 01:49,0.008050485,0.003824385,7.11E-06,1.43E-05,7.628145797,8.521089337,12.75066801,12.43253239
27/12/2023 02:04,0.008313516,0.004032536,6.84E-06,1.27E-05,7.585577044,8.462732365,12.76765913,12.48814987
27/12/2023 02:19,0.008281761,0.004033289,6.91E-06,1.08E-05,7.590663894,8.462525503,12.76319663,12.56302652
27/12/2023 02:34,0.008247516,0.00402176,6.37E-06,1.35E-05,7.596165497,8.465695972,12.79873725,12.45960163
27/12/2023 02:49,0.008295764,0.004037459,5.98E-06,1.46E-05,7.588419006,8.461380468,12.82614153,12.42273048
27/12/2023 03:04,0.008482245,0.004139709,5.96E-06,1.50E-05,7.558781897,8.433583583,12.82759004,12.4099383
27/12/2023 03:19,0.008606057,0.004250006,5.58E-06,1.49E-05,7.539364224,8.4041829,12.85598231,12.41310743
27/12/2023 03:34,0.008494356,0.004219169,4.65E-06,1.28E-05,7.556873496,8.412343382,12.93364058,12.48449451
27/12/2023 03:49,0.00848453,0.004242365,4.63E-06,1.21E-05,7.558421686,8.406200726,12.93546053,12.51064056
27/12/2023 04:04,0.008356203,0.004141133,4.54E-06,1.17E-05,7.578761141,8.433200201,12.94373955,12.52619754
27/12/2023 04:19,0.008251959,0.004105779,4.57E-06,1.12E-05,7.595450776,8.442748565,12.94096347,12.54633015
27/12/2023 04:34,0.008261952,0.004064614,4.77E-06,1.10E-05,7.593844276,8.453946134,12.92286767,12.5546101
27/12/2023 04:49,0.008159001,0.004004885,4.65E-06,1.05E-05,7.610463018,8.470349196,12.93364058,12.57591772
27/12/2023 05:04,0.008113557,0.003988059,4.81E-06,1.03E-05,7.617847231,8.475003926,12.91933126,12.58469718
27/12/2023 05:19,0.008149563,0.00399343,5.06E-06,9.77E-06,7.61199414,8.473516461,12.89781426,12.60872688
27/12/2023 05:34,0.008146898,0.003989856,5.25E-06,9.38E-06,7.612426714,8.474506087,12.88209637,12.62717044
27/12/2023 05:49,0.008095707,0.003910764,5.89E-06,9.53E-06,7.620755905,8.496582743,12.8326947,12.61999648
