Description for merged_1007.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 24707072
Blocks: 1508

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block   36: 0036_PM1000_20251006_105301_2025-10-07_00-34-39.mat.csv | samples=16384 | start=2025/10/07 00:34:36.988499000 | end=2025/10/07 00:34:37.156260920
  Block   37: 0037_PM1000_20251006_105301_2025-10-07_00-35-30.mat.csv | samples=16384 | start=2025/10/07 00:35:27.730310000 | end=2025/10/07 00:35:27.898071920
  Block   38: 0038_PM1000_20251006_105301_2025-10-07_00-36-20.mat.csv | samples=16384 | start=2025/10/07 00:36:18.319187000 | end=2025/10/07 00:36:18.486948920
  Block   39: 0039_PM1000_20251006_105301_2025-10-07_00-37-11.mat.csv | samples=16384 | start=2025/10/07 00:37:09.080054000 | end=2025/10/07 00:37:09.247815920
  Block   40: 0040_PM1000_20251006_105301_2025-10-07_00-38-02.mat.csv | samples=16384 | start=2025/10/07 00:37:59.761732000 | end=2025/10/07 00:37:59.929493920
  Block   41: 0041_PM1000_20251006_105301_2025-10-07_00-38-52.mat.csv | samples=16384 | start=2025/10/07 00:38:50.342263000 | end=2025/10/07 00:38:50.510024920
  Block   42: 0042_PM1000_20251006_105301_2025-10-07_00-40-42.mat.csv | samples=16384 | start=2025/10/07 00:39:41.021803000 | end=2025/10/07 00:39:41.189564920
  Block   43: 0043_PM1000_20251006_105301_2025-10-07_00-41-33.mat.csv | samples=16384 | start=2025/10/07 00:41:30.861848000 | end=2025/10/07 00:41:31.029609919
  Block   44: 0044_PM1000_20251006_105301_2025-10-07_00-42-24.mat.csv | samples=16384 | start=2025/10/07 00:42:21.507171000 | end=2025/10/07 00:42:21.674932920
  Block   45: 0045_PM1000_20251006_105301_2025-10-07_00-44-13.mat.csv | samples=16384 | start=2025/10/07 00:43:12.152568000 | end=2025/10/07 00:43:12.320329920
  Block   46: 0046_PM1000_20251006_105301_2025-10-07_00-46-03.mat.csv | samples=16384 | start=2025/10/07 00:45:01.639462000 | end=2025/10/07 00:45:01.807223920
  Block   47: 0047_PM1000_20251006_105301_2025-10-07_00-47-53.mat.csv | samples=16384 | start=2025/10/07 00:46:51.460724000 | end=2025/10/07 00:46:51.628485920
  Block   48: 0048_PM1000_20251006_105301_2025-10-07_00-48-43.mat.csv | samples=16384 | start=2025/10/07 00:48:41.378591000 | end=2025/10/07 00:48:41.546352920
  Block   49: 0049_PM1000_20251006_105301_2025-10-07_00-50-33.mat.csv | samples=16384 | start=2025/10/07 00:49:32.120849000 | end=2025/10/07 00:49:32.288610920
  Block   50: 0050_PM1000_20251006_105301_2025-10-07_00-51-24.mat.csv | samples=16384 | start=2025/10/07 00:51:21.858364000 | end=2025/10/07 00:51:22.026125920
  Block   51: 0051_PM1000_20251006_105301_2025-10-07_00-52-15.mat.csv | samples=16384 | start=2025/10/07 00:52:12.522293000 | end=2025/10/07 00:52:12.690054920
  Block   52: 0052_PM1000_20251006_105301_2025-10-07_00-53-05.mat.csv | samples=16384 | start=2025/10/07 00:53:03.194047000 | end=2025/10/07 00:53:03.361808920
  Block   53: 0053_PM1000_20251006_105301_2025-10-07_00-53-56.mat.csv | samples=16384 | start=2025/10/07 00:53:53.821446000 | end=2025/10/07 00:53:53.989207920
  Block   54: 0054_PM1000_20251006_105301_2025-10-07_00-54-46.mat.csv | samples=16384 | start=2025/10/07 00:54:44.296210000 | end=2025/10/07 00:54:44.463971920
  Block   55: 0055_PM1000_20251006_105301_2025-10-07_00-55-37.mat.csv | samples=16384 | start=2025/10/07 00:55:34.992145000 | end=2025/10/07 00:55:35.159906920
  Block   56: 0056_PM1000_20251006_105301_2025-10-07_00-56-28.mat.csv | samples=16384 | start=2025/10/07 00:56:25.602068000 | end=2025/10/07 00:56:25.769829920
  Block   57: 0057_PM1000_20251006_105301_2025-10-07_00-57-18.mat.csv | samples=16384 | start=2025/10/07 00:57:16.365371000 | end=2025/10/07 00:57:16.533132920
