"Time","recv wwan0"
2024-10-18 20:21:00,121 kb/s
2024-10-18 20:21:30,119 kb/s
2024-10-18 20:22:00,48.6 kb/s
2024-10-18 20:22:30,258 kb/s
2024-10-18 20:23:00,288 kb/s
2024-10-18 20:23:30,465 kb/s
2024-10-18 20:24:00,1.02 kb/s
2024-10-18 20:24:30,0 b/s
2024-10-18 20:25:00,0 b/s
2024-10-18 20:25:30,373 kb/s
2024-10-18 20:26:00,234 kb/s
2024-10-18 20:26:30,0 b/s
2024-10-18 20:27:00,336 kb/s
2024-10-18 20:27:30,402 kb/s
2024-10-18 20:28:00,275 kb/s
2024-10-18 20:28:30,124 kb/s
2024-10-18 20:29:00,217 kb/s
2024-10-18 20:29:30,209 kb/s
2024-10-18 20:30:00,383 kb/s
2024-10-18 20:30:30,458 kb/s
2024-10-18 20:31:00,0 b/s
2024-10-18 20:31:30,0 b/s
2024-10-18 20:32:00,0 b/s
2024-10-18 20:32:30,115 kb/s
2024-10-18 20:33:00,115 kb/s
2024-10-18 20:33:30,102 kb/s
2024-10-18 20:34:00,0 b/s
2024-10-18 20:34:30,0 b/s
2024-10-18 20:35:00,19.9 kb/s
2024-10-18 20:35:30,0 b/s
2024-10-18 20:36:00,0 b/s
2024-10-18 20:36:30,0 b/s
2024-10-18 20:37:00,0 b/s
2024-10-18 20:37:30,0 b/s
2024-10-18 20:38:00,0 b/s
2024-10-18 20:38:30,0 b/s
2024-10-18 20:39:00,268 kb/s
2024-10-18 20:39:30,214 kb/s
2024-10-18 20:40:00,155 kb/s
2024-10-18 20:40:30,0 b/s
2024-10-18 20:41:00,217 kb/s
2024-10-18 20:41:30,139 kb/s
2024-10-18 20:42:00,204 kb/s
2024-10-18 20:42:30,0 b/s
2024-10-18 20:43:00,251 kb/s
2024-10-18 20:43:30,245 kb/s
2024-10-18 20:44:00,226 kb/s
2024-10-18 20:44:30,231 kb/s
2024-10-18 20:45:00,213 kb/s
2024-10-18 20:45:30,92.7 kb/s
2024-10-18 20:46:00,108 kb/s
2024-10-18 20:46:30,0 b/s
2024-10-18 20:47:00,0 b/s
2024-10-18 20:47:30,423 kb/s
2024-10-18 20:48:00,0 b/s
2024-10-18 20:48:30,0 b/s
2024-10-18 20:49:00,0 b/s
2024-10-18 20:49:30,0 b/s
2024-10-18 20:50:00,0 b/s
2024-10-18 20:50:30,0 b/s
2024-10-18 20:51:00,0 b/s
2024-10-18 20:51:30,121 kb/s
2024-10-18 20:52:00,1.12 kb/s
2024-10-18 20:52:30,0 b/s
2024-10-18 20:53:00,0 b/s
2024-10-18 20:53:30,0 b/s
2024-10-18 20:54:00,0 b/s
2024-10-18 20:54:30,0 b/s
2024-10-18 20:55:00,587 kb/s
2024-10-18 20:55:30,439 kb/s
2024-10-18 20:56:00,500 kb/s
2024-10-18 20:56:30,0 b/s
2024-10-18 20:57:00,0 b/s
2024-10-18 20:57:30,0 b/s
2024-10-18 20:58:00,0 b/s
2024-10-18 20:58:30,0 b/s
2024-10-18 20:59:00,0 b/s
2024-10-18 20:59:30,0 b/s
2024-10-18 21:00:00,0 b/s
2024-10-18 21:00:30,0 b/s
2024-10-18 21:01:00,0 b/s
2024-10-18 21:01:30,0 b/s
2024-10-18 21:02:00,0 b/s
2024-10-18 21:02:30,316 kb/s
2024-10-18 21:03:00,0 b/s
2024-10-18 21:03:30,0 b/s
2024-10-18 21:04:00,0 b/s
2024-10-18 21:04:30,255 kb/s
2024-10-18 21:05:00,246 kb/s
2024-10-18 21:05:30,389 kb/s
2024-10-18 21:06:30,507 kb/s
2024-10-18 21:07:00,0 b/s
2024-10-18 21:07:30,0 b/s
2024-10-18 21:08:00,0 b/s
2024-10-18 21:08:30,0 b/s
2024-10-18 21:09:00,0 b/s
2024-10-18 21:09:30,0 b/s
2024-10-18 21:10:00,0 b/s
2024-10-18 21:10:30,0 b/s
2024-10-18 21:11:00,0 b/s
2024-10-18 21:11:30,0 b/s
2024-10-18 21:12:00,0 b/s
2024-10-18 21:12:30,0 b/s
2024-10-18 21:13:00,0 b/s
2024-10-18 21:13:30,0 b/s
2024-10-18 21:14:00,0 b/s
2024-10-18 21:14:30,0 b/s
2024-10-18 21:15:00,0 b/s
2024-10-18 21:15:30,0 b/s
2024-10-18 21:16:00,528 kb/s
2024-10-18 21:16:30,70.2 kb/s
2024-10-18 21:17:00,72.2 kb/s
2024-10-18 21:17:30,73.7 kb/s
2024-10-18 21:18:00,44.6 kb/s
2024-10-18 21:18:30,117 kb/s
2024-10-18 21:19:00,150 kb/s
2024-10-18 21:19:30,203 kb/s
2024-10-18 21:20:00,170 kb/s
2024-10-18 21:20:30,48.1 kb/s
2024-10-18 21:21:00,64.5 kb/s
2024-10-18 21:21:30,0 b/s
2024-10-18 21:22:00,0 b/s
2024-10-18 21:22:30,0 b/s
2024-10-18 21:23:00,0 b/s
2024-10-18 21:23:30,190 kb/s
2024-10-18 21:24:00,0 b/s
2024-10-18 21:24:30,0 b/s
2024-10-18 21:25:00,158 kb/s
2024-10-18 21:25:30,207 kb/s
2024-10-18 21:26:00,0 b/s
2024-10-18 21:26:30,0 b/s
2024-10-18 21:27:00,0 b/s
2024-10-18 21:27:30,0 b/s
2024-10-18 21:28:00,403 kb/s
2024-10-18 21:28:30,1.12 kb/s
2024-10-18 21:29:00,0 b/s
2024-10-18 21:29:30,0 b/s
2024-10-18 21:30:00,0 b/s
2024-10-18 21:30:30,0 b/s
2024-10-18 21:31:00,521 kb/s
2024-10-18 21:31:30,39.9 kb/s
2024-10-18 21:32:00,29.7 kb/s
2024-10-18 21:32:30,0 b/s
