"Time","recv wwan0"
2024-10-18 20:21:00,0 b/s
2024-10-18 20:21:30,0 b/s
2024-10-18 20:22:00,0 b/s
2024-10-18 20:22:30,0 b/s
2024-10-18 20:23:00,0 b/s
2024-10-18 20:23:30,148 kb/s
2024-10-18 20:24:00,0 b/s
2024-10-18 20:24:30,0 b/s
2024-10-18 20:25:00,66.6 kb/s
2024-10-18 20:25:30,0 b/s
2024-10-18 20:26:00,0 b/s
2024-10-18 20:26:30,0 b/s
2024-10-18 20:27:00,0 b/s
2024-10-18 20:27:30,131 kb/s
2024-10-18 20:28:00,95.7 kb/s
2024-10-18 20:28:30,0 b/s
2024-10-18 20:29:00,0 b/s
2024-10-18 20:29:30,0 b/s
2024-10-18 20:30:00,127 kb/s
2024-10-18 20:30:30,117 kb/s
2024-10-18 20:31:00,115 kb/s
2024-10-18 20:31:30,119 kb/s
2024-10-18 20:32:00,109 kb/s
2024-10-18 20:32:30,253 kb/s
2024-10-18 20:33:00,250 kb/s
2024-10-18 20:33:30,182 kb/s
2024-10-18 20:34:00,0 b/s
2024-10-18 20:34:30,55.2 kb/s
2024-10-18 20:35:00,113 kb/s
2024-10-18 20:35:30,0 b/s
2024-10-18 20:36:00,210 kb/s
2024-10-18 20:36:30,133 kb/s
2024-10-18 20:37:00,80.4 kb/s
2024-10-18 20:37:30,0 b/s
2024-10-18 20:38:00,0 b/s
2024-10-18 20:38:30,0 b/s
2024-10-18 20:39:00,0 b/s
2024-10-18 20:39:30,0 b/s
2024-10-18 20:40:00,99.8 kb/s
2024-10-18 20:40:30,132 kb/s
2024-10-18 20:41:00,127 kb/s
2024-10-18 20:41:30,0 b/s
2024-10-18 20:42:00,53.2 kb/s
2024-10-18 20:42:30,53.2 kb/s
2024-10-18 20:43:00,0 b/s
2024-10-18 20:43:30,0 b/s
2024-10-18 20:44:00,0 b/s
2024-10-18 20:44:30,3.58 kb/s
2024-10-18 20:45:00,1.12 kb/s
2024-10-18 20:45:30,0 b/s
2024-10-18 20:46:00,0 b/s
2024-10-18 20:46:30,0 b/s
2024-10-18 20:47:00,206 kb/s
2024-10-18 20:47:30,0 b/s
2024-10-18 20:48:00,0 b/s
2024-10-18 20:48:30,0 b/s
2024-10-18 20:49:00,0 b/s
2024-10-18 20:49:30,0 b/s
2024-10-18 20:50:00,53.2 kb/s
2024-10-18 20:50:30,53.3 kb/s
2024-10-18 20:51:00,192 kb/s
2024-10-18 20:51:30,133 kb/s
2024-10-18 20:52:00,109 kb/s
2024-10-18 20:52:30,0 b/s
2024-10-18 20:53:00,0 b/s
2024-10-18 20:53:30,0 b/s
2024-10-18 20:54:00,0 b/s
2024-10-18 20:54:30,0 b/s
2024-10-18 20:55:00,0 b/s
2024-10-18 20:55:30,0 b/s
2024-10-18 20:56:00,0 b/s
2024-10-18 20:56:30,129 kb/s
2024-10-18 20:57:00,79.6 kb/s
2024-10-18 20:57:30,60.5 kb/s
2024-10-18 20:58:00,0 b/s
2024-10-18 20:58:30,0 b/s
2024-10-18 20:59:00,0 b/s
2024-10-18 20:59:30,0 b/s
2024-10-18 21:00:00,0 b/s
2024-10-18 21:00:30,0 b/s
2024-10-18 21:01:00,0 b/s
2024-10-18 21:01:30,0 b/s
2024-10-18 21:02:00,0 b/s
2024-10-18 21:02:30,0 b/s
2024-10-18 21:03:00,0 b/s
2024-10-18 21:03:30,0 b/s
2024-10-18 21:04:00,0 b/s
2024-10-18 21:04:30,0 b/s
2024-10-18 21:05:00,0 b/s
2024-10-18 21:05:30,0 b/s
2024-10-18 21:06:00,0 b/s
2024-10-18 21:06:30,174 kb/s
2024-10-18 21:07:00,131 kb/s
2024-10-18 21:07:30,0 b/s
