Time_Start,Time_End,OPR-OCH,PREBER Value,QAVG Value
2024-01-04 02:10:00,2024-01-04 02:25:00,-17.200000000000024,2.712195121951219e-07,14.00040650406504
2024-01-04 02:26:00,2024-01-04 02:41:00,-17.200000000000006,2.7000000000000017e-07,14.007111111111104
2024-01-04 02:42:00,2024-01-04 02:57:00,-17.200000000000003,2.6094890510948935e-07,14.009999999999993
2024-01-04 02:58:00,2024-01-04 02:59:00,-17.199999999999996,2.6e-07,14.009999999999998
2024-01-04 03:00:00,2024-01-04 03:15:00,-17.200000000000003,2.6000000000000037e-07,14.010364963503642
2024-01-04 03:16:00,2024-01-04 03:31:00,-17.200000000000006,2.6000000000000037e-07,14.009999999999993
2024-01-04 03:32:00,2024-01-04 03:47:00,-17.200000000000017,2.679069767441861e-07,14.009999999999993
2024-01-04 03:48:00,2024-01-04 03:59:00,-17.200000000000028,2.6999999999999985e-07,14.009999999999993
2024-01-04 04:00:00,2024-01-04 04:15:00,-17.200000000000017,2.7000000000000006e-07,14.009999999999993
2024-01-04 04:16:00,2024-01-04 04:31:00,-17.20000000000001,2.700000000000001e-07,14.009999999999993
2024-01-04 04:32:00,2024-01-04 04:47:00,-17.200000000000006,2.6140740740740773e-07,14.009999999999993
2024-01-04 04:48:00,2024-01-04 04:59:00,-17.20000000000003,2.6000000000000016e-07,14.009999999999993
2024-01-04 05:00:00,2024-01-04 05:15:00,-17.200000000000003,2.6000000000000037e-07,14.009999999999993
2024-01-04 05:16:00,2024-01-04 05:31:00,-17.200000000000003,2.6000000000000037e-07,14.009999999999993
2024-01-04 05:32:00,2024-01-04 05:47:00,-17.199275362318843,2.6000000000000037e-07,14.016594202898537
2024-01-04 05:48:00,2024-01-04 05:59:00,-17.199019607843166,2.6000000000000016e-07,14.019999999999987
2024-01-04 06:00:00,2024-01-04 06:15:00,-17.200000000000003,2.6000000000000037e-07,14.019999999999985
2024-01-04 06:16:00,2024-01-04 06:31:00,-17.200000000000006,2.6000000000000037e-07,14.014962962962953
2024-01-04 06:32:00,2024-01-04 06:47:00,-17.199275362318843,2.6000000000000037e-07,14.01021739130434
2024-01-04 06:48:00,2024-01-04 06:59:00,-17.20000000000003,2.600000000000002e-07,14.019999999999985
2024-01-04 07:00:00,2024-01-04 07:15:00,-17.200000000000003,2.6000000000000037e-07,14.019999999999985
2024-01-04 07:16:00,2024-01-04 07:31:00,-17.19928057553957,2.6000000000000037e-07,14.019999999999985
2024-01-04 07:32:00,2024-01-04 07:47:00,-17.19928057553957,2.6000000000000037e-07,14.019999999999985
2024-01-04 07:48:00,2024-01-04 07:59:00,-17.20000000000003,2.6000000000000016e-07,14.019999999999985
2024-01-04 08:00:00,2024-01-04 08:15:00,-17.200000000000003,2.6000000000000037e-07,14.019999999999985
2024-01-04 08:16:00,2024-01-04 08:31:00,-17.2,2.6000000000000037e-07,14.019999999999985
2024-01-04 08:32:00,2024-01-04 08:47:00,-17.199999999999992,2.6000000000000037e-07,14.019999999999985
2024-01-04 08:48:00,2024-01-04 08:59:00,-17.198095238095267,2.600000000000002e-07,14.019999999999985
2024-01-04 09:00:00,2024-01-04 09:15:00,-17.19858156028369,2.6000000000000037e-07,14.019999999999985
2024-01-04 09:16:00,2024-01-04 09:31:00,-17.200000000000003,2.6000000000000037e-07,14.019999999999985
2024-01-04 09:32:00,2024-01-04 09:47:00,-17.199275362318843,2.6000000000000037e-07,14.019999999999985
2024-01-04 09:48:00,2024-01-04 09:59:00,-17.195049504950525,2.6000000000000016e-07,14.019999999999987
2024-01-04 10:00:00,2024-01-04 10:15:00,-17.19424460431655,2.6000000000000037e-07,14.019999999999985
2024-01-04 10:16:00,2024-01-04 10:31:00,-17.094160583941648,2.6000000000000037e-07,14.019999999999985
2024-01-04 10:32:00,2024-01-04 10:47:00,-16.8282608695652,2.6000000000000037e-07,14.019999999999985
2024-01-04 10:48:00,2024-01-04 10:59:00,-16.69699999999999,2.6000000000000016e-07,14.019999999999987
2024-01-04 11:00:00,2024-01-04 11:15:00,-16.657462686567126,2.600000000000003e-07,14.019999999999985
2024-01-04 11:16:00,2024-01-04 11:31:00,-16.909848484848524,2.600000000000003e-07,14.019999999999985
2024-01-04 11:32:00,2024-01-04 11:47:00,-16.90000000000004,2.600000000000003e-07,14.018914728682157
2024-01-04 11:48:00,2024-01-04 11:59:00,-16.900000000000027,2.6000000000000016e-07,14.009999999999993
2024-01-04 12:00:00,2024-01-04 12:15:00,-16.80218978102189,2.6452554744525557e-07,14.009999999999993
2024-01-04 12:16:00,2024-01-04 12:20:00,-16.799999999999994,2.700000000000002e-07,14.009999999999994
