Timestamp,OPR-OCH,PREBER Value,QAVG Value
['01-10 17-06'],[-16.7],2.7e-07,14.0
['01-10 17-06'],[-16.7],2.7e-07,14.0
['01-10 17-06'],[-16.7],2.8e-07,14.0
['01-10 17-06'],[-16.7],2.8e-07,14.0
['01-10 17-06'],[-16.7],2.7e-07,14.0
['01-10 17-06'],[-16.7],2.7e-07,14.0
['01-10 17-06'],[-16.7],2.7e-07,14.0
['01-10 17-07'],[-16.7],2.8e-07,14.0
['01-10 17-07'],[-16.7],2.8e-07,13.99
['01-10 17-07'],[-16.7],2.8e-07,13.99
['01-10 17-07'],[-16.7],2.8e-07,13.99
['01-10 17-09'],[-16.7],2.7e-07,14.0
['01-10 17-09'],[-16.7],2.7e-07,14.0
['01-10 17-09'],[-16.7],2.7e-07,14.0
['01-10 17-09'],[-16.7],2.7e-07,14.0
['01-10 17-09'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.6],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-10'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.6],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-11'],[-16.7],2.7e-07,14.0
['01-10 17-12'],[-16.7],2.7e-07,14.0
['01-10 17-12'],[-16.7],2.7e-07,14.0
['01-10 17-12'],[-16.7],2.7e-07,14.0
['01-10 17-12'],[-16.7],2.7e-07,14.01
['01-10 17-12'],[-16.7],2.7e-07,14.01
['01-10 17-12'],[-16.7],2.7e-07,14.01
['01-10 17-12'],[-16.7],2.7e-07,14.01
['01-10 17-12'],[-16.7],2.7e-07,14.01
['01-10 17-12'],[-16.7],2.7e-07,14.01
['01-10 17-12'],[-16.7],2.7e-07,14.01
['01-10 17-12'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-13'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.6],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-14'],[-16.7],2.7e-07,14.01
['01-10 17-15'],[-16.7],2.7e-07,14.01
['01-10 17-15'],[-16.7],2.7e-07,14.01
['01-10 17-15'],[-16.7],2.7e-07,14.01
['01-10 17-15'],[-16.7],2.7e-07,14.01
['01-10 17-15'],[-16.7],2.7e-07,14.01
['01-10 17-15'],[-16.7],2.7e-07,14.01
['01-10 17-15'],[-16.6],2.7e-07,14.01
['01-10 17-15'],[-16.6],2.7e-07,14.01
['01-10 17-15'],[-16.6],2.7e-07,14.01
['01-10 17-15'],[-16.6],2.7e-07,14.01
['01-10 17-15'],[-16.7],2.7e-07,14.01
['01-10 17-15'],[-16.6],2.7e-07,14.01
['01-10 17-16'],[-16.7],2.7e-07,14.01
['01-10 17-16'],[-16.6],2.7e-07,14.01
['01-10 17-16'],[-16.6],2.7e-07,14.01
['01-10 17-16'],[-16.6],2.7e-07,14.01
['01-10 17-16'],[-16.6],2.7e-07,14.01
