Time_Start,Time_End,OPR-OCH,PREBER Value,QAVG Value
30/12/2023 18:19,30/12/2023 18:34,-17.207042253521145,2.8633802816901426e-07,13.985492957746489
30/12/2023 18:35,30/12/2023 18:50,-17.206756756756775,2.9148648648648663e-07,13.984594594594606
30/12/2023 18:51,30/12/2023 18:59,-17.21666666666667,3.1190476190476215e-07,13.96047619047619
30/12/2023 19:00,30/12/2023 19:15,-17.226027397260285,3.160273972602737e-07,13.95479452054796
30/12/2023 19:16,30/12/2023 19:31,-17.218918918918938,3.0648648648648686e-07,13.968108108108128
30/12/2023 19:32,30/12/2023 19:47,-17.25810810810811,3.000000000000003e-07,13.970000000000018
30/12/2023 19:48,30/12/2023 19:59,-17.208928571428583,3.000000000000002e-07,13.970178571428589
30/12/2023 20:00,30/12/2023 20:15,-17.24594594594595,3.000000000000003e-07,13.980000000000013
30/12/2023 20:16,30/12/2023 20:25,-17.21063829787235,3.0000000000000015e-07,13.98000000000001
31/12/2023 01:11,31/12/2023 01:26,-17.20258620689658,2.7939655172413827e-07,13.99586206896552
31/12/2023 01:27,31/12/2023 01:42,-17.20000000000003,2.800000000000003e-07,13.990000000000007
31/12/2023 01:43,31/12/2023 01:58,-17.20409836065576,2.8147540983606585e-07,13.990000000000007
31/12/2023 01:59,31/12/2023 01:59,-17.2,2.9e-07,13.989999999999998
31/12/2023 02:00,31/12/2023 02:15,-17.209677419354854,2.8999999999999945e-07,13.983064516129046
31/12/2023 02:16,31/12/2023 02:31,-17.205737704918054,2.8999999999999945e-07,13.980000000000015
31/12/2023 02:32,31/12/2023 02:47,-17.17142857142856,2.8999999999999945e-07,13.980000000000015
31/12/2023 02:48,31/12/2023 02:59,-17.099999999999977,2.899999999999996e-07,13.980000000000013
31/12/2023 03:00,31/12/2023 03:15,-17.09999999999996,2.8999999999999945e-07,13.980000000000015
31/12/2023 03:16,31/12/2023 03:31,-17.09999999999996,2.8999999999999945e-07,13.980000000000015
31/12/2023 03:32,31/12/2023 03:47,-17.09999999999996,2.8999999999999945e-07,13.980000000000015
31/12/2023 03:48,31/12/2023 03:59,-17.099999999999977,2.8999999999999966e-07,13.980000000000013
31/12/2023 04:00,31/12/2023 04:15,-17.09999999999996,2.981250000000004e-07,13.97398437500002
31/12/2023 04:16,31/12/2023 04:31,-17.09999999999996,3.0000000000000036e-07,13.970000000000022
31/12/2023 04:32,31/12/2023 04:47,-17.10781249999996,3.0000000000000036e-07,13.970000000000022
31/12/2023 04:48,31/12/2023 04:59,-17.099999999999973,3.0000000000000036e-07,13.97000000000002
31/12/2023 05:00,31/12/2023 05:15,-17.09999999999996,2.996875000000003e-07,13.973593750000019
31/12/2023 05:16,31/12/2023 05:31,-17.09999999999996,2.915624999999995e-07,13.980000000000015
31/12/2023 05:32,31/12/2023 05:47,-17.09999999999996,2.8999999999999945e-07,13.980000000000015
31/12/2023 05:48,31/12/2023 05:59,-17.099999999999977,2.899999999999996e-07,13.980000000000013
31/12/2023 06:00,31/12/2023 06:15,-17.09999999999996,2.8999999999999945e-07,13.983750000000011
31/12/2023 06:16,31/12/2023 06:31,-17.09999999999996,2.852307692307689e-07,13.990000000000007
31/12/2023 06:32,31/12/2023 06:47,-17.09999999999996,2.7999999999999997e-07,13.990000000000007
31/12/2023 06:48,31/12/2023 06:59,-17.099999999999977,2.8000000000000044e-07,13.990000000000007
31/12/2023 07:00,31/12/2023 07:15,-17.121874999999974,2.8e-07,13.990000000000007
31/12/2023 07:16,31/12/2023 07:31,-17.200000000000014,2.7999999999999997e-07,13.990000000000007
31/12/2023 07:32,31/12/2023 07:47,-17.199218750000018,2.8e-07,13.990000000000007
31/12/2023 07:48,31/12/2023 07:59,-17.200000000000028,2.8000000000000044e-07,13.990000000000007
31/12/2023 08:00,31/12/2023 08:15,-17.190769230769252,2.922307692307695e-07,13.977692307692324
31/12/2023 08:16,31/12/2023 08:31,-17.09999999999996,2.9984615384615425e-07,13.970000000000022
31/12/2023 08:32,31/12/2023 08:47,-17.097656249999957,3.0000000000000036e-07,13.970000000000022
