Timestamp,OPR-OCH,PREBER Value,QAVG Value
['01-26 04-31'],[-17.0],2.9e-07,13.99
['01-26 04-31'],[-17.0],2.9e-07,13.99
['01-26 04-31'],[-17.0],2.9e-07,13.99
['01-26 04-31'],[-17.0],2.9e-07,13.99
['01-26 04-31'],[-17.0],2.9e-07,13.99
['01-26 04-31'],[-17.0],2.9e-07,13.99
['01-26 04-31'],[-17.0],2.9e-07,13.99
['01-26 04-31'],[-17.0],2.9e-07,13.99
['01-26 04-31'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-32'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-33'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-34'],[-17.0],2.9e-07,13.99
['01-26 04-35'],[-17.0],2.9e-07,13.99
['01-26 04-35'],[-17.0],2.9e-07,13.99
['01-26 04-35'],[-17.0],2.9e-07,13.99
['01-26 04-35'],[-17.0],2.9e-07,13.99
['01-26 04-35'],[-17.0],2.9e-07,13.99
