Time_Start,Time_End,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
2024-01-15 12:31:00,2024-01-15 12:45:53,0.008554542777777775,0.0047499844506172844,4.907330604938275e-06,6.26753769444444e-06,0.0,0.0,0.0,0.0
2024-01-15 12:46:05,2024-01-15 13:00:58,0.008510783524390247,0.004778624225609756,1.211961043292683e-05,4.185343740243902e-06,0.0,0.0,0.0,0.0
2024-01-15 13:01:01,2024-01-15 13:15:54,0.008854943475903612,0.004872159909638554,5.945920542168673e-06,1.218279927710843e-06,0.0,0.0,0.0,0.0
2024-01-15 13:16:05,2024-01-15 13:30:50,0.008967731697530863,0.004872734401234568,2.7577536419753072e-05,1.564793853086419e-06,0.0,0.0,0.0,0.0
2024-01-15 13:31:01,2024-01-15 13:45:57,0.008885905165680476,0.004661493059171598,3.572132917159762e-05,5.613879029585798e-07,0.0,0.0,0.0,0.0
2024-01-15 13:46:00,2024-01-15 14:00:55,0.009017408335329342,0.004740604718562872,4.1930896586826355e-05,6.913337233532936e-07,0.0,0.0,0.0,0.0
2024-01-15 14:01:07,2024-01-15 14:15:59,0.009212568430303027,0.004908992909090911,4.699702006060606e-05,8.159142296969699e-07,0.0,0.0,0.0,0.0
2024-01-15 14:16:10,2024-01-15 14:30:59,0.00923619757575758,0.0049613767151515135,4.643713648484848e-05,7.783685169696967e-07,0.0,0.0,0.0,0.0
2024-01-15 14:31:13,2024-01-15 14:45:55,0.009227670049382715,0.004947139604938272,4.61533646296296e-05,7.525465518518521e-07,0.0,0.0,0.0,0.0
2024-01-15 14:46:05,2024-01-15 15:00:51,0.009224374581818181,0.004974427987878787,4.510598418181816e-05,7.512242951515148e-07,0.0,0.0,0.0,0.0
2024-01-15 15:01:02,2024-01-15 15:15:59,0.008941326646706589,0.004815726101796412,4.1865061017964064e-05,6.400189676646705e-07,0.0,0.0,0.0,0.0
2024-01-15 15:16:02,2024-01-15 15:30:50,0.008949450134969323,0.004618108779141103,3.7002053496932527e-05,5.517795963190183e-07,0.0,0.0,0.0,0.0
2024-01-15 15:31:00,2024-01-15 15:45:52,0.009146625053571432,0.004742630113095238,3.798486119047618e-05,5.640128226190475e-07,0.0,0.0,0.0,0.0
2024-01-15 15:46:03,2024-01-15 16:00:58,0.009213869367741937,0.004846117670967745,3.639508754838708e-05,5.914357529032261e-07,0.0,0.0,0.0,0.0
2024-01-15 16:01:01,2024-01-15 16:15:51,0.009153122393750001,0.0047909306062499995,3.28419954375e-05,5.96815598125e-07,0.0,0.0,0.0,0.0
2024-01-15 16:16:02,2024-01-15 16:30:52,0.009241169315476186,0.0048773978214285705,3.326180755952382e-05,5.905906380952381e-07,0.0,0.0,0.0,0.0
2024-01-15 16:31:02,2024-01-15 16:45:58,0.009250472887573965,0.004839035000000002,3.7255219822485194e-05,5.637719360946747e-07,0.0,0.0,0.0,0.0
2024-01-15 16:46:00,2024-01-15 17:00:58,0.008935673000000005,0.004567821305882351,3.9632247588235296e-05,5.106403988235297e-07,0.0,0.0,0.0,0.0
2024-01-15 17:01:08,2024-01-15 17:15:56,0.009082282878787878,0.00467370229090909,4.355301169696969e-05,5.725642909090911e-07,0.0,0.0,0.0,0.0
2024-01-15 17:16:07,2024-01-15 17:30:49,0.00915733676190476,0.004745846785714286,4.3160729880952376e-05,6.285537988095241e-07,0.0,0.0,0.0,0.0
2024-01-15 17:31:00,2024-01-15 17:45:56,0.009423842374269008,0.004918538514619881,4.765118321637427e-05,8.012042625730992e-07,0.0,0.0,0.0,0.0
2024-01-15 17:46:06,2024-01-15 18:00:54,0.009382076428571426,0.004858731244047619,4.558496672619048e-05,8.447892934523811e-07,0.0,0.0,0.0,0.0
2024-01-15 18:01:05,2024-01-15 18:15:54,0.009225741863095238,0.004870569422619049,4.1361904047619066e-05,8.986616523809525e-07,0.0,0.0,0.0,0.0
2024-01-15 18:16:04,2024-01-15 18:30:57,0.009087563140350878,0.004838691783625732,3.791018210526313e-05,7.978971877192986e-07,0.0,0.0,0.0,0.0
2024-01-15 18:31:07,2024-01-15 18:45:51,0.008941309547619049,0.0047422789821428574,3.8715106904761916e-05,6.245913827380949e-07,0.0,0.0,0.0,0.0
2024-01-15 18:46:01,2024-01-15 19:00:50,0.008845329714285711,0.004725670779761905,4.0277541190476176e-05,5.859648934523809e-07,0.0,0.0,0.0,0.0
2024-01-15 19:01:01,2024-01-15 19:15:58,0.008805677035502963,0.004730425467455623,4.0432659349112426e-05,5.385939538461538e-07,0.0,0.0,0.0,0.0
2024-01-15 19:16:00,2024-01-15 19:30:51,0.008630528676646708,0.004609138790419165,4.026020485029938e-05,4.990699526946107e-07,0.0,0.0,0.0,0.0
2024-01-15 19:31:01,2024-01-15 19:45:57,0.008629774946428576,0.004581969636904765,3.948613690476188e-05,5.209124714285713e-07,0.0,0.0,0.0,0.0
2024-01-15 19:46:08,2024-01-15 20:00:59,0.008939181241176476,0.004863818664705883,3.8048567176470577e-05,5.557501400000001e-07,0.0,0.0,0.0,0.0
2024-01-15 20:01:02,2024-01-15 20:15:55,0.008883064733727807,0.004887570295857991,3.795197905325441e-05,5.333388763313608e-07,0.0,0.0,0.0,0.0
2024-01-15 20:16:05,2024-01-15 20:30:59,0.008720022233918129,0.0047455455263157925,3.9272534093567264e-05,5.19339207602339e-07,0.0,0.0,0.0,0.0
2024-01-15 20:31:10,2024-01-15 20:45:52,0.008478525422619055,0.004495494327380952,3.961976303571429e-05,5.40802422619048e-07,0.0,0.0,0.0,0.0
2024-01-15 20:46:03,2024-01-15 21:00:56,0.008410371,0.004487265485380116,3.9651571052631584e-05,5.892940748538011e-07,0.0,0.0,0.0,0.0
2024-01-15 21:01:07,2024-01-15 21:15:57,0.008521035511764708,0.004580143047058824,4.260031805882353e-05,5.877851958823531e-07,0.0,0.0,0.0,0.0
2024-01-15 21:16:00,2024-01-15 21:30:53,0.008645525213017749,0.004752194869822486,4.463765011834319e-05,6.327372313609465e-07,0.0,0.0,0.0,0.0
