date,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
2024-01-04 02:14:33,0.008358266,0.004139607,0.0001000138,3.877527e-06,0.0,0.0,0.0,0.0
2024-01-04 02:14:39,0.008234159,0.003968062,9.658858e-05,4.660682e-06,0.0,0.0,0.0,0.0
2024-01-04 02:14:47,0.008211434,0.004004936,9.204631e-05,4.063389e-06,0.0,0.0,0.0,0.0
2024-01-04 02:14:55,0.008372167,0.00394418,9.886486e-05,4.592387e-06,0.0,0.0,0.0,0.0
2024-01-04 02:15:02,0.008214734,0.004050812,9.236376e-05,4.791354e-06,0.0,0.0,0.0,0.0
2024-01-04 02:15:11,0.008338024,0.004093535,0.0001025048,4.55486e-06,0.0,0.0,0.0,0.0
2024-01-04 02:15:20,0.008335143,0.004073472,9.516269e-05,3.777828e-06,0.0,0.0,0.0,0.0
2024-01-04 02:15:26,0.008159102,0.003989943,9.165704e-05,3.886598e-06,0.0,0.0,0.0,0.0
2024-01-04 02:15:35,0.008244692,0.003974953,9.189109e-05,4.143588e-06,0.0,0.0,0.0,0.0
2024-01-04 02:15:43,0.008281809,0.003990248,0.0001041377,4.480698e-06,0.0,0.0,0.0,0.0
2024-01-04 02:15:49,0.00837701,0.004114059,9.93539e-05,4.612306e-06,0.0,0.0,0.0,0.0
2024-01-04 02:15:56,0.008417376,0.004086367,9.778172e-05,4.497414e-06,0.0,0.0,0.0,0.0
2024-01-04 02:16:05,0.008152915,0.00405404,0.0001008943,3.922879e-06,0.0,0.0,0.0,0.0
2024-01-04 02:16:12,0.008381044,0.004185107,9.097426e-05,3.991739e-06,0.0,0.0,0.0,0.0
2024-01-04 02:16:19,0.008268635,0.004084419,9.121361e-05,3.817133e-06,0.0,0.0,0.0,0.0
2024-01-04 02:16:28,0.00836882,0.004189708,9.554213e-05,3.714191e-06,0.0,0.0,0.0,0.0
2024-01-04 02:16:35,0.008187975,0.004201038,9.971444e-05,4.314494e-06,0.0,0.0,0.0,0.0
2024-01-04 02:16:43,0.008261969,0.004049176,9.198357e-05,3.877527e-06,0.0,0.0,0.0,0.0
2024-01-04 02:16:52,0.008288987,0.003932165,0.0001033324,4.492879e-06,0.0,0.0,0.0,0.0
2024-01-04 02:16:58,0.008290484,0.004033435,0.000103599,4.574336e-06,0.0,0.0,0.0,0.0
2024-01-04 02:17:05,0.00824468,0.003998545,8.90758e-05,3.880626e-06,0.0,0.0,0.0,0.0
2024-01-04 02:17:14,0.00828284,0.003985429,9.325869e-05,3.794457e-06,0.0,0.0,0.0,0.0
2024-01-04 02:17:20,0.008328591,0.003969421,9.985805e-05,4.507822e-06,0.0,0.0,0.0,0.0
2024-01-04 02:17:28,0.008239383,0.004005179,9.34862e-05,4.357579e-06,0.0,0.0,0.0,0.0
2024-01-04 02:17:36,0.008392478,0.004036647,9.654439e-05,4.314494e-06,0.0,0.0,0.0,0.0
2024-01-04 02:17:43,0.008240282,0.003932302,9.294955e-05,3.835274e-06,0.0,0.0,0.0,0.0
2024-01-04 02:17:52,0.008214907,0.003983369,9.406368e-05,4.069593e-06,0.0,0.0,0.0,0.0
2024-01-04 02:18:00,0.008157621,0.004115664,9.908708e-05,4.418719e-06,0.0,0.0,0.0,0.0
2024-01-04 02:18:06,0.00833421,0.004101658,9.326776e-05,3.73845e-06,0.0,0.0,0.0,0.0
2024-01-04 02:18:14,0.008384567,0.004043748,9.802245e-05,4.411245e-06,0.0,0.0,0.0,0.0
2024-01-04 02:18:22,0.008114366,0.004055528,9.417328e-05,4.261501e-06,0.0,0.0,0.0,0.0
2024-01-04 02:18:29,0.008350566,0.004129649,8.875154e-05,3.48744e-06,0.0,0.0,0.0,0.0
2024-01-04 02:18:39,0.008394511,0.004152397,9.15991e-05,3.832932e-06,0.0,0.0,0.0,0.0
2024-01-04 02:18:49,0.008452347,0.004114277,0.0001000456,3.832251e-06,0.0,0.0,0.0,0.0
2024-01-04 02:18:55,0.008308879,0.004073466,9.241111e-05,3.851829e-06,0.0,0.0,0.0,0.0
2024-01-04 02:19:05,0.008377531,0.004123585,0.0001011434,3.752056e-06,0.0,0.0,0.0,0.0
2024-01-04 02:19:14,0.008241289,0.003887031,9.042122e-05,3.820839e-06,0.0,0.0,0.0,0.0
2024-01-04 02:19:19,0.008465135,0.003939673,0.0001002151,4.379414e-06,0.0,0.0,0.0,0.0
2024-01-04 02:19:26,0.008295704,0.004119344,9.95474e-05,3.75803e-06,0.0,0.0,0.0,0.0
2024-01-04 02:19:35,0.008272599,0.004052472,9.274245e-05,4.087655e-06,0.0,0.0,0.0,0.0
2024-01-04 02:19:41,0.008195097,0.003948781,0.0001040792,4.426363e-06,0.0,0.0,0.0,0.0
2024-01-04 02:19:49,0.008154023,0.003974149,9.411765e-05,3.615932e-06,0.0,0.0,0.0,0.0
2024-01-04 02:19:57,0.008397887,0.003992901,9.434637e-05,3.697563e-06,0.0,0.0,0.0,0.0
2024-01-04 02:20:03,0.008286834,0.003935293,9.330963e-05,3.755079e-06,0.0,0.0,0.0,0.0
2024-01-04 02:20:11,0.008265599,0.003928225,8.90163e-05,3.845856e-06,0.0,0.0,0.0,0.0
2024-01-04 02:20:19,0.008425602,0.004194317,9.143331e-05,3.798992e-06,0.0,0.0,0.0,0.0
2024-01-04 02:20:27,0.008259477,0.004032194,9.514228e-05,3.864678e-06,0.0,0.0,0.0,0.0
2024-01-04 02:20:35,0.008382901,0.004051597,9.382558e-05,4.268056e-06,0.0,0.0,0.0,0.0
2024-01-04 02:20:44,0.008358046,0.004089377,9.530588e-05,4.281236e-06,0.0,0.0,0.0,0.0
2024-01-04 02:20:51,0.008335454,0.004156431,8.973967e-05,3.56323e-06,0.0,0.0,0.0,0.0
2024-01-04 02:20:59,0.008229977,0.003948922,8.995312e-05,3.826204e-06,0.0,0.0,0.0,0.0
2024-01-04 02:21:07,0.008174214,0.003889915,9.778286e-05,4.566954e-06,0.0,0.0,0.0,0.0
2024-01-04 02:21:14,0.00824454,0.004030996,9.365733e-05,3.679565e-06,0.0,0.0,0.0,0.0
2024-01-04 02:21:21,0.008161077,0.003969948,9.996118e-05,4.191962e-06,0.0,0.0,0.0,0.0
2024-01-04 02:21:30,0.008121694,0.003921235,9.084223e-05,3.900959e-06,0.0,0.0,0.0,0.0
2024-01-04 02:21:37,0.008178549,0.003896205,0.0001037076,4.521515e-06,0.0,0.0,0.0,0.0
2024-01-04 02:21:44,0.008149813,0.004057128,9.296543e-05,3.723406e-06,0.0,0.0,0.0,0.0
2024-01-04 02:21:54,0.008216111,0.00408879,9.209647e-05,3.872992e-06,0.0,0.0,0.0,0.0
2024-01-04 02:22:00,0.008200806,0.003983195,0.000101767,4.35909e-06,0.0,0.0,0.0,0.0
2024-01-04 02:22:08,0.008148585,0.003957564,9.510179e-05,3.564604e-06,0.0,0.0,0.0,0.0
2024-01-04 02:22:16,0.008090761,0.003968086,9.211358e-05,3.873067e-06,0.0,0.0,0.0,0.0
2024-01-04 02:22:23,0.008343928,0.00404106,0.0001014156,3.982668e-06,0.0,0.0,0.0,0.0
2024-01-04 02:22:32,0.008348786,0.004093333,9.582708e-05,4.183054e-06,0.0,0.0,0.0,0.0
