Description for 1011.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 13910016
Blocks: 849

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block   36: 0036_PM1000_20251011_111803_2025-10-11_11-58-37.mat.csv | samples=16384 | start=2025/10/11 11:58:35.270863000 | end=2025/10/11 11:58:35.438624920
  Block   37: 0037_PM1000_20251011_111803_2025-10-11_12-00-31.mat.csv | samples=16384 | start=2025/10/11 11:59:28.299621000 | end=2025/10/11 11:59:28.467382920
  Block   38: 0038_PM1000_20251011_111803_2025-10-11_12-01-25.mat.csv | samples=16384 | start=2025/10/11 12:01:22.568681000 | end=2025/10/11 12:01:22.736442920
  Block   39: 0039_PM1000_20251011_111803_2025-10-11_12-02-18.mat.csv | samples=16384 | start=2025/10/11 12:02:15.939285000 | end=2025/10/11 12:02:16.107046920
  Block   40: 0040_PM1000_20251011_111803_2025-10-11_12-03-11.mat.csv | samples=16384 | start=2025/10/11 12:03:09.182527000 | end=2025/10/11 12:03:09.350288919
  Block   41: 0041_PM1000_20251011_111803_2025-10-11_12-05-05.mat.csv | samples=16384 | start=2025/10/11 12:04:02.150068000 | end=2025/10/11 12:04:02.317829920
  Block   42: 0042_PM1000_20251011_111803_2025-10-11_12-05-58.mat.csv | samples=16384 | start=2025/10/11 12:05:56.302092000 | end=2025/10/11 12:05:56.469853920
  Block   43: 0043_PM1000_20251011_111803_2025-10-11_12-06-51.mat.csv | samples=16384 | start=2025/10/11 12:06:49.327980999 | end=2025/10/11 12:06:49.495742920
  Block   44: 0044_PM1000_20251011_111803_2025-10-11_12-08-45.mat.csv | samples=16384 | start=2025/10/11 12:07:42.197083000 | end=2025/10/11 12:07:42.364844920
  Block   45: 0045_PM1000_20251011_111803_2025-10-11_12-09-38.mat.csv | samples=16384 | start=2025/10/11 12:09:36.503294000 | end=2025/10/11 12:09:36.671055920
  Block   46: 0046_PM1000_20251011_111803_2025-10-11_12-11-33.mat.csv | samples=16384 | start=2025/10/11 12:10:30.024081000 | end=2025/10/11 12:10:30.191842920
  Block   47: 0047_PM1000_20251011_111803_2025-10-11_12-12-26.mat.csv | samples=16384 | start=2025/10/11 12:12:24.316344000 | end=2025/10/11 12:12:24.484105919
  Block   48: 0048_PM1000_20251011_111803_2025-10-11_12-13-19.mat.csv | samples=16384 | start=2025/10/11 12:13:17.326243000 | end=2025/10/11 12:13:17.494004919
  Block   49: 0049_PM1000_20251011_111803_2025-10-11_12-15-14.mat.csv | samples=16384 | start=2025/10/11 12:14:10.651382000 | end=2025/10/11 12:14:10.819143920
  Block   50: 0050_PM1000_20251011_111803_2025-10-11_12-17-08.mat.csv | samples=16384 | start=2025/10/11 12:16:05.058328000 | end=2025/10/11 12:16:05.226089920
  Block   51: 0051_PM1000_20251011_111803_2025-10-11_12-19-02.mat.csv | samples=16384 | start=2025/10/11 12:17:59.265405000 | end=2025/10/11 12:17:59.433166920
  Block   52: 0052_PM1000_20251011_111803_2025-10-11_12-19-55.mat.csv | samples=16384 | start=2025/10/11 12:19:52.627895000 | end=2025/10/11 12:19:52.795656920
  Block   53: 0053_PM1000_20251011_111803_2025-10-11_12-20-46.mat.csv | samples=16384 | start=2025/10/11 12:20:44.242190000 | end=2025/10/11 12:20:44.409951919
  Block   54: 0054_PM1000_20251011_111803_2025-10-11_12-21-37.mat.csv | samples=16384 | start=2025/10/11 12:21:34.993561000 | end=2025/10/11 12:21:35.161322920
  Block   55: 0055_PM1000_20251011_111803_2025-10-11_12-22-28.mat.csv | samples=16384 | start=2025/10/11 12:22:25.982676000 | end=2025/10/11 12:22:26.150437920
  Block   56: 0056_PM1000_20251011_111803_2025-10-11_12-23-19.mat.csv | samples=16384 | start=2025/10/11 12:23:16.875006000 | end=2025/10/11 12:23:17.042767919
  Block   57: 0057_PM1000_20251011_111803_2025-10-11_12-25-11.mat.csv | samples=16384 | start=2025/10/11 12:24:07.941770000 | end=2025/10/11 12:24:08.109531919
  Block   58: 0058_PM1000_20251011_111803_2025-10-11_12-26-02.mat.csv | samples=16384 | start=2025/10/11 12:26:00.017211000 | end=2025/10/11 12:26:00.184972920
