Timestamp,BER1,BER2
26/12/2023 02:11,3.50E-10,0.000336634
26/12/2023 02:11,2.67E-10,0.000350994
26/12/2023 02:11,3.50E-10,0.00034959
26/12/2023 02:11,2.67E-10,0.000346388
26/12/2023 02:11,3.50E-10,0.000345503
26/12/2023 02:11,3.50E-10,0.000340521
26/12/2023 02:12,3.50E-10,0.000342557
26/12/2023 02:12,2.93E-10,0.000346978
26/12/2023 02:12,3.50E-10,0.000340045
26/12/2023 02:12,3.50E-10,0.000343095
26/12/2023 02:12,3.50E-10,0.000348654
26/12/2023 02:12,2.67E-10,0.000337838
26/12/2023 02:12,2.23E-10,0.000350201
26/12/2023 02:12,2.67E-10,0.000341485
26/12/2023 02:12,2.93E-10,0.000345294
26/12/2023 02:13,3.50E-10,0.000346466
26/12/2023 02:13,2.67E-10,0.000345913
26/12/2023 02:13,2.93E-10,0.000350079
26/12/2023 02:13,4.19E-10,0.00033941
26/12/2023 02:13,3.50E-10,0.000355724
26/12/2023 02:13,2.23E-10,0.000343335
26/12/2023 02:13,2.67E-10,0.000352511
26/12/2023 02:13,2.93E-10,0.000348323
26/12/2023 02:14,2.23E-10,0.000343073
26/12/2023 02:14,3.50E-10,0.00035006
26/12/2023 02:14,2.93E-10,0.000345395
26/12/2023 02:14,2.67E-10,0.000346749
26/12/2023 02:14,2.93E-10,0.000351051
26/12/2023 02:14,2.67E-10,0.000341794
26/12/2023 02:14,4.58E-10,0.000341869
26/12/2023 02:14,3.50E-10,0.000351111
26/12/2023 02:14,3.20E-10,0.000347127
26/12/2023 02:15,3.50E-10,0.000348988
26/12/2023 02:15,2.67E-10,0.000341239
26/12/2023 02:15,2.67E-10,0.000356651
26/12/2023 02:15,3.50E-10,0.000338144
26/12/2023 02:15,2.44E-10,0.000341031
26/12/2023 02:15,2.23E-10,0.000345025
26/12/2023 02:15,4.58E-10,0.000341826
26/12/2023 02:15,3.20E-10,0.000352616
26/12/2023 02:15,3.50E-10,0.000339742
26/12/2023 02:16,3.50E-10,0.000348908
26/12/2023 02:16,2.67E-10,0.000353386
26/12/2023 02:16,2.23E-10,0.000343349
26/12/2023 02:16,2.23E-10,0.000350304
26/12/2023 02:16,3.20E-10,0.000347394
26/12/2023 02:16,2.93E-10,0.000346636
26/12/2023 02:16,3.50E-10,0.000341678
26/12/2023 02:16,2.67E-10,0.000346095
26/12/2023 02:17,2.23E-10,0.00034701
26/12/2023 02:17,2.67E-10,0.000346226
26/12/2023 02:17,2.67E-10,0.000342404
26/12/2023 02:17,3.50E-10,0.00032546
26/12/2023 02:17,2.93E-10,0.000347972
26/12/2023 02:17,2.93E-10,0.000346084
26/12/2023 02:17,2.93E-10,0.000339461
26/12/2023 02:18,3.50E-10,0.000350943
26/12/2023 02:18,3.50E-10,0.000346789
26/12/2023 02:18,3.50E-10,0.000349549
26/12/2023 02:18,2.23E-10,0.000355119
26/12/2023 02:18,3.50E-10,0.000340813
26/12/2023 02:18,2.67E-10,0.000353286
26/12/2023 02:18,3.50E-10,0.000327032
26/12/2023 02:18,2.93E-10,0.000350407
26/12/2023 02:18,2.67E-10,0.000352422
26/12/2023 02:19,3.50E-10,0.000349997
26/12/2023 02:19,2.23E-10,0.000343043
26/12/2023 02:19,2.93E-10,0.000344118
26/12/2023 02:19,2.93E-10,0.000342329
26/12/2023 02:19,3.50E-10,0.000336901
26/12/2023 02:19,3.50E-10,0.000350607
26/12/2023 02:19,3.50E-10,0.000340134
26/12/2023 02:19,3.50E-10,0.000350314
26/12/2023 02:20,3.50E-10,0.000342735
26/12/2023 02:20,3.50E-10,0.000343418
26/12/2023 02:20,3.50E-10,0.000341226
26/12/2023 02:20,3.50E-10,0.000339426
26/12/2023 02:20,2.67E-10,0.000347178
26/12/2023 02:20,2.67E-10,0.000343833
26/12/2023 02:20,2.67E-10,0.000347871
26/12/2023 02:20,3.50E-10,0.000351617
26/12/2023 02:20,3.20E-10,0.00034426
26/12/2023 02:21,2.93E-10,0.000346991
26/12/2023 02:21,3.50E-10,0.000337931
26/12/2023 02:21,2.67E-10,0.00034921
26/12/2023 02:21,4.19E-10,0.000348647
