Time_Start,Time_End,BER1,BER2
26/12/2023 05:28,26/12/2023 05:43,3.16E-10,0.000338421
26/12/2023 05:44,26/12/2023 05:59,3.38E-10,0.000343974
26/12/2023 06:00,26/12/2023 06:15,2.43E-10,0.0003414
26/12/2023 06:16,26/12/2023 06:31,9.67E-11,0.000325838
26/12/2023 06:32,26/12/2023 06:47,2.21E-10,0.000320295
26/12/2023 06:48,26/12/2023 06:59,2.35E-10,0.000322795
26/12/2023 07:00,26/12/2023 07:15,1.64E-10,0.000320058
26/12/2023 07:16,26/12/2023 07:31,2.61E-10,0.000324785
26/12/2023 07:32,26/12/2023 07:47,7.62E-11,0.000328918
26/12/2023 07:48,26/12/2023 07:59,1.73E-10,0.000332123
26/12/2023 08:00,26/12/2023 08:15,1.74E-10,0.000335915
26/12/2023 08:16,26/12/2023 08:31,3.40E-10,0.000342707
26/12/2023 08:32,26/12/2023 08:47,5.48E-11,0.000336103
26/12/2023 08:48,26/12/2023 08:59,3.38E-10,0.000346152
26/12/2023 09:00,26/12/2023 09:15,1.20E-10,0.000350918
26/12/2023 09:16,26/12/2023 09:31,1.50E-10,0.000345953
26/12/2023 09:32,26/12/2023 09:47,7.62E-11,0.000339993
26/12/2023 09:48,26/12/2023 09:59,2.62E-10,0.000341865
26/12/2023 10:00,26/12/2023 10:15,2.18E-10,0.000344059
26/12/2023 10:16,26/12/2023 10:31,1.99E-10,0.000343938
26/12/2023 10:32,26/12/2023 10:47,1.63E-10,0.000334966
26/12/2023 10:48,26/12/2023 10:59,1.60E-10,0.000320087
26/12/2023 11:00,26/12/2023 11:15,1.42E-10,0.000318598
26/12/2023 11:16,26/12/2023 11:31,6.67E-11,0.00032508
26/12/2023 11:32,26/12/2023 11:47,2.22E-10,0.00033139
26/12/2023 11:48,26/12/2023 11:59,3.03E-10,0.000333754
26/12/2023 12:00,26/12/2023 12:15,2.50E-10,0.000340386
26/12/2023 12:16,26/12/2023 12:31,2.84E-10,0.000344797
26/12/2023 12:32,26/12/2023 12:47,2.63E-10,0.000342049
26/12/2023 12:48,26/12/2023 12:59,3.03E-11,0.000342368
26/12/2023 13:00,26/12/2023 13:15,2.22E-10,0.000343448
26/12/2023 13:16,26/12/2023 13:31,1.68E-10,0.000344376
26/12/2023 13:32,26/12/2023 13:47,2.21E-10,0.000339992
26/12/2023 13:48,26/12/2023 13:59,2.04E-10,0.000335741
26/12/2023 14:00,26/12/2023 14:15,1.90E-10,0.000334354
26/12/2023 14:16,26/12/2023 14:31,3.94E-10,0.000336771
26/12/2023 14:32,26/12/2023 14:47,1.77E-10,0.000336791
26/12/2023 14:48,26/12/2023 14:59,1.90E-10,0.000335798
26/12/2023 15:00,26/12/2023 15:15,1.73E-10,0.000332781
26/12/2023 15:16,26/12/2023 15:31,3.46E-10,0.000327415
26/12/2023 15:32,26/12/2023 15:47,1.61E-10,0.000326995
26/12/2023 15:48,26/12/2023 15:59,2.94E-10,0.000325366
26/12/2023 16:00,26/12/2023 16:15,2.41E-10,0.000324042
26/12/2023 16:16,26/12/2023 16:31,2.33E-10,0.000332914
26/12/2023 16:32,26/12/2023 16:47,1.32E-10,0.000325891
26/12/2023 16:48,26/12/2023 16:59,3.90E-10,0.000331383
26/12/2023 17:00,26/12/2023 17:15,2.74E-10,0.000344673
26/12/2023 17:16,26/12/2023 17:31,2.74E-10,0.000338302
26/12/2023 17:32,26/12/2023 17:47,2.41E-10,0.000340102
26/12/2023 17:48,26/12/2023 17:59,1.90E-10,0.000341066
26/12/2023 18:00,26/12/2023 18:15,1.86E-10,0.000344615
26/12/2023 18:16,26/12/2023 18:31,1.75E-10,0.000330322
26/12/2023 18:32,26/12/2023 18:47,3.14E-10,0.000344394
26/12/2023 18:48,26/12/2023 18:59,3.21E-10,0.000341192
26/12/2023 19:00,26/12/2023 19:12,4.33E-10,0.000351762
