Time_Start,Time_End,BER1,BER2
26/12/2023 01:57,26/12/2023 01:59,5.02E-10,0.000345211
26/12/2023 02:00,26/12/2023 02:15,2.42E-10,0.000345283
26/12/2023 02:16,26/12/2023 02:31,2.59E-10,0.000345219
26/12/2023 02:32,26/12/2023 02:47,1.77E-10,0.000341065
26/12/2023 02:48,26/12/2023 02:59,1.54E-10,0.000339877
26/12/2023 03:00,26/12/2023 03:15,1.97E-10,0.000336943
26/12/2023 03:16,26/12/2023 03:31,1.62E-10,0.000331952
26/12/2023 03:32,26/12/2023 03:47,3.16E-10,0.000335694
26/12/2023 03:48,26/12/2023 03:59,2.93E-10,0.000327193
26/12/2023 04:00,26/12/2023 04:15,2.22E-10,0.00032628
26/12/2023 04:16,26/12/2023 04:31,3.48E-10,0.000326284
26/12/2023 04:32,26/12/2023 04:47,3.16E-10,0.000339745
26/12/2023 04:48,26/12/2023 04:59,1.61E-10,0.000347126
26/12/2023 05:00,26/12/2023 05:15,3.06E-10,0.000341286
26/12/2023 05:16,26/12/2023 05:26,1.05E-10,0.000337046
