Time_Start,Time_End,BER1,BER2
20/01/2024 02:06,20/01/2024 02:21,3.81E-10,0.000357263
20/01/2024 02:22,20/01/2024 02:37,3.84E-10,0.000351449
20/01/2024 02:38,20/01/2024 02:53,4.69E-10,0.000332858
20/01/2024 02:54,20/01/2024 02:59,4.83E-10,0.000329191
20/01/2024 03:00,20/01/2024 03:15,2.99E-10,0.000335691
20/01/2024 03:16,20/01/2024 03:31,4.77E-10,0.000340036
20/01/2024 03:32,20/01/2024 03:47,1.71E-10,0.000345544
20/01/2024 03:48,20/01/2024 03:59,3.29E-10,0.000356353
20/01/2024 04:00,20/01/2024 04:15,3.63E-10,0.00033484
20/01/2024 04:16,20/01/2024 04:31,2.88E-10,0.000338319
20/01/2024 04:32,20/01/2024 04:47,4.87E-10,0.000351196
20/01/2024 04:48,20/01/2024 04:59,2.98E-10,0.000350755
20/01/2024 05:00,20/01/2024 05:15,2.82E-10,0.000350336
20/01/2024 05:16,20/01/2024 05:31,4.26E-10,0.000337632
20/01/2024 05:32,20/01/2024 05:47,2.29E-10,0.000333944
20/01/2024 05:48,20/01/2024 05:59,2.07E-10,0.000340162
20/01/2024 06:00,20/01/2024 06:15,2.60E-10,0.000355221
20/01/2024 06:16,20/01/2024 06:31,2.41E-10,0.000343906
20/01/2024 06:32,20/01/2024 06:47,3.35E-10,0.000340698
20/01/2024 06:48,20/01/2024 06:59,4.84E-10,0.000351015
20/01/2024 07:00,20/01/2024 07:15,4.60E-10,0.000350984
20/01/2024 07:16,20/01/2024 07:31,2.49E-10,0.000345184
20/01/2024 07:32,20/01/2024 07:47,2.61E-10,0.000333573
20/01/2024 07:48,20/01/2024 07:59,3.76E-10,0.000332555
20/01/2024 08:00,20/01/2024 08:15,2.93E-10,0.000343408
20/01/2024 08:16,20/01/2024 08:31,2.72E-10,0.000344856
20/01/2024 08:32,20/01/2024 08:47,3.03E-10,0.000335903
20/01/2024 08:48,20/01/2024 08:59,2.76E-10,0.000346484
20/01/2024 09:00,20/01/2024 09:15,2.80E-10,0.000350342
20/01/2024 09:16,20/01/2024 09:31,3.45E-10,0.000349301
20/01/2024 09:32,20/01/2024 09:47,2.82E-10,0.000352045
20/01/2024 09:48,20/01/2024 09:59,5.58E-11,0.000332634
20/01/2024 10:00,20/01/2024 10:15,2.41E-10,0.000336782
20/01/2024 10:16,20/01/2024 10:31,3.35E-10,0.000347215
20/01/2024 10:32,20/01/2024 10:47,3.03E-10,0.000342613
20/01/2024 10:48,20/01/2024 10:59,9.76E-11,0.000330122
20/01/2024 11:00,20/01/2024 11:15,3.66E-10,0.000345116
20/01/2024 11:16,20/01/2024 11:31,3.01E-10,0.000360098
20/01/2024 11:32,20/01/2024 11:47,2.95E-10,0.000354679
20/01/2024 11:48,20/01/2024 11:59,3.35E-10,0.000343036
20/01/2024 12:00,20/01/2024 12:15,4.47E-10,0.000357185
20/01/2024 12:16,20/01/2024 12:31,2.20E-10,0.000351088
20/01/2024 12:32,20/01/2024 12:47,2.60E-10,0.00034626
20/01/2024 12:48,20/01/2024 12:59,2.50E-10,0.000358181
20/01/2024 13:00,20/01/2024 13:15,2.33E-10,0.00034801
20/01/2024 13:16,20/01/2024 13:31,3.71E-10,0.000332776
20/01/2024 13:32,20/01/2024 13:47,2.53E-10,0.0003354
20/01/2024 13:48,20/01/2024 13:59,2.65E-10,0.000356406
20/01/2024 14:00,20/01/2024 14:15,3.68E-10,0.000359135
20/01/2024 14:16,20/01/2024 14:31,2.09E-10,0.000362326
