Time_Start,Time_End,BER1,BER2
30/12/2023 18:23,30/12/2023 18:38,3.41E-10,0.000329256
30/12/2023 18:39,30/12/2023 18:54,2.15E-10,0.00032949
30/12/2023 18:55,30/12/2023 18:59,0,0.000330166
30/12/2023 19:00,30/12/2023 19:15,4.08E-10,0.000331424
30/12/2023 19:16,30/12/2023 19:31,6.44E-11,0.000332604
30/12/2023 19:32,30/12/2023 19:47,1.07E-10,0.000332311
30/12/2023 19:48,30/12/2023 19:59,5.68E-11,0.00033243
30/12/2023 20:00,30/12/2023 20:15,6.44E-11,0.000333107
30/12/2023 20:16,30/12/2023 20:29,0,0.000334032
31/12/2023 01:15,31/12/2023 01:30,1.92E-10,0.000330732
31/12/2023 01:31,31/12/2023 01:46,2.74E-10,0.000326298
31/12/2023 01:47,31/12/2023 01:59,3.37E-10,0.000331947
31/12/2023 02:00,31/12/2023 02:15,2.54E-10,0.000340901
31/12/2023 02:16,31/12/2023 02:31,1.95E-10,0.000343833
31/12/2023 02:32,31/12/2023 02:47,2.80E-10,0.000350724
31/12/2023 02:48,31/12/2023 02:59,3.35E-10,0.00034255
31/12/2023 03:00,31/12/2023 03:15,1.38E-10,0.000331995
31/12/2023 03:16,31/12/2023 03:31,2.98E-10,0.00032795
31/12/2023 03:32,31/12/2023 03:47,3.23E-10,0.000331675
31/12/2023 03:48,31/12/2023 03:59,1.66E-10,0.000332233
31/12/2023 04:00,31/12/2023 04:15,1.00E-10,0.000329706
31/12/2023 04:16,31/12/2023 04:31,1.97E-10,0.000323307
31/12/2023 04:32,31/12/2023 04:47,2.98E-10,0.000315404
31/12/2023 04:48,31/12/2023 04:59,1.49E-10,0.000315242
31/12/2023 05:00,31/12/2023 05:15,1.86E-10,0.000315576
31/12/2023 05:16,31/12/2023 05:31,8.69E-11,0.000319687
31/12/2023 05:32,31/12/2023 05:47,2.20E-10,0.000318894
31/12/2023 05:48,31/12/2023 05:59,3.93E-10,0.000318382
31/12/2023 06:00,31/12/2023 06:15,9.93E-11,0.000318818
31/12/2023 06:16,31/12/2023 06:31,4.89E-10,0.000322269
31/12/2023 06:32,31/12/2023 06:47,1.60E-10,0.000328406
31/12/2023 06:48,31/12/2023 06:59,1.82E-10,0.000329321
31/12/2023 07:00,31/12/2023 07:15,1.97E-10,0.000324521
31/12/2023 07:16,31/12/2023 07:31,7.39E-11,0.000331523
31/12/2023 07:32,31/12/2023 07:47,3.48E-10,0.000340847
31/12/2023 07:48,31/12/2023 07:59,1.67E-10,0.000340591
31/12/2023 08:00,31/12/2023 08:15,4.16E-10,0.000343344
31/12/2023 08:16,31/12/2023 08:31,2.22E-10,0.000344275
31/12/2023 08:32,31/12/2023 08:47,3.94E-10,0.00033452
31/12/2023 08:48,31/12/2023 08:59,2.95E-10,0.000333065
31/12/2023 09:00,31/12/2023 09:15,2.32E-10,0.000333168
31/12/2023 09:16,31/12/2023 09:31,1.86E-10,0.000335544
31/12/2023 09:32,31/12/2023 09:47,7.28E-11,0.000324842
31/12/2023 09:48,31/12/2023 09:59,4.17E-10,0.000319532
31/12/2023 10:00,31/12/2023 10:15,1.96E-10,0.000317514
31/12/2023 10:16,31/12/2023 10:31,3.18E-10,0.000316789
31/12/2023 10:32,31/12/2023 10:47,2.53E-10,0.000317131
31/12/2023 10:48,31/12/2023 10:59,1.61E-10,0.000319322
31/12/2023 11:00,31/12/2023 11:15,2.02E-10,0.000322811
31/12/2023 11:16,31/12/2023 11:31,1.16E-10,0.000322602
31/12/2023 11:32,31/12/2023 11:47,2.08E-10,0.000322548
31/12/2023 11:48,31/12/2023 11:59,1.38E-10,0.000333717
31/12/2023 12:00,31/12/2023 12:15,1.91E-10,0.000345842
31/12/2023 12:16,31/12/2023 12:31,1.86E-10,0.000342616
31/12/2023 12:32,31/12/2023 12:47,1.72E-10,0.00034345
31/12/2023 12:48,31/12/2023 12:59,3.11E-10,0.000344848
31/12/2023 13:00,31/12/2023 13:15,3.18E-10,0.00034119
31/12/2023 13:16,31/12/2023 13:31,3.30E-10,0.000343493
31/12/2023 13:32,31/12/2023 13:47,1.72E-10,0.00034049
31/12/2023 13:48,31/12/2023 13:59,1.67E-10,0.000340033
31/12/2023 14:00,31/12/2023 14:15,2.22E-10,0.000343759
31/12/2023 14:16,31/12/2023 14:31,1.72E-10,0.000345406
31/12/2023 14:32,31/12/2023 14:47,3.20E-10,0.000338972
31/12/2023 14:48,31/12/2023 14:59,1.31E-10,0.000339436
31/12/2023 15:00,31/12/2023 15:15,2.57E-10,0.00033613
31/12/2023 15:16,31/12/2023 15:31,2.09E-10,0.000335794
31/12/2023 15:32,31/12/2023 15:47,2.11E-10,0.000327226
31/12/2023 15:48,31/12/2023 15:59,9.93E-11,0.000323692
31/12/2023 16:00,31/12/2023 16:15,1.00E-10,0.00032347
31/12/2023 16:16,31/12/2023 16:31,2.88E-10,0.000334061
31/12/2023 16:32,31/12/2023 16:47,2.24E-10,0.000336371
31/12/2023 16:48,31/12/2023 16:59,2.48E-10,0.000336983
31/12/2023 17:00,31/12/2023 17:15,3.42E-10,0.000334822
31/12/2023 17:16,31/12/2023 17:31,1.83E-10,0.000336662
31/12/2023 17:32,31/12/2023 17:47,2.08E-10,0.000338085
31/12/2023 17:48,31/12/2023 17:59,2.46E-10,0.000338511
31/12/2023 18:00,31/12/2023 18:15,2.46E-10,0.000336728
31/12/2023 18:16,31/12/2023 18:31,2.81E-10,0.000323632
31/12/2023 18:32,31/12/2023 18:47,2.32E-10,0.000339426
31/12/2023 18:48,31/12/2023 18:59,4.14E-10,0.00034278
31/12/2023 19:00,31/12/2023 19:15,2.34E-10,0.000334136
31/12/2023 19:16,31/12/2023 19:31,5.26E-10,0.000341024
