Time_Start,Time_End,BER1,BER2
10/01/2024 17:10,10/01/2024 17:25,3.43E-10,0.000326032
10/01/2024 17:26,10/01/2024 17:41,2.45E-10,0.000335139
10/01/2024 17:42,10/01/2024 17:57,2.03E-10,0.000327884
10/01/2024 17:58,10/01/2024 17:59,1.99E-10,0.000336492
10/01/2024 18:00,10/01/2024 18:15,2.63E-10,0.000341535
10/01/2024 18:16,10/01/2024 18:31,3.95E-10,0.000349682
10/01/2024 18:32,10/01/2024 18:47,1.39E-10,0.000352674
10/01/2024 18:48,10/01/2024 18:59,2.65E-10,0.000356355
10/01/2024 19:00,10/01/2024 19:15,3.50E-10,0.000344804
10/01/2024 19:16,10/01/2024 19:31,2.49E-10,0.000326661
10/01/2024 19:32,10/01/2024 19:47,2.48E-10,0.000332049
10/01/2024 19:48,10/01/2024 19:59,3.63E-10,0.00034666
10/01/2024 20:00,10/01/2024 20:15,3.08E-10,0.000357526
10/01/2024 20:16,10/01/2024 20:19,7.95E-11,0.000357362
